url,nat,cap
/titanic-survivor/hilda-maria-hellstrom.html,Swedish,Stockholm
/titanic-victim/jenny-lovisa-henriksson.html,Swedish,Stockholm
/titanic-victim/john-fredrik-alexander-holm.html,Swedish,Stockholm
/titanic-survivor/carl-olof-jansson.html,Swedish,Stockholm
/titanic-victim/gustaf-joel-johansson.html,Swedish,Stockholm
/titanic-victim/nils-johansson.html,Swedish,Stockholm
/titanic-survivor/oscar-wilhelm-Johansson.html,Swedish,Stockholm
/titanic-victim/karl-johan-johansson.html,Swedish,Stockholm
/titanic-victim/erik-johansson.html,Swedish,Stockholm
/titanic-survivor/harold-theodor-johnson.html,Swedish,Stockholm
/titanic-victim/malkolm-joackim-johnson.html,Swedish,Stockholm
/titanic-survivor/eleanor-ileen-johnson.html,Swedish,Stockholm
/titanic-survivor/carl-jonsson.html,Swedish,Stockholm
/titanic-victim/nils-hilding-jonsson.html,Swedish,Stockholm
/titanic-survivor/einar-gervasius-karlsson.html,Swedish,Stockholm
/titanic-victim/julius-konrad-eugen-karlsson.html,Swedish,Stockholm
/titanic-victim/nils-august-karlsson.html,Swedish,Stockholm
/titanic-victim/gertrud-emilia-klasen.html,Swedish,Stockholm
/titanic-victim/hulda-kristina-eugenia-klasen.html,Swedish,Stockholm
/titanic-victim/klas-albin-klasen.html,Swedish,Stockholm
/titanic-survivor/aurora-adelia-landergren.html,Swedish,Stockholm
/titanic-victim/bengt-edvin-larsson.html,Swedish,Stockholm
/titanic-victim/august-viktor-larsson.html,Swedish,Stockholm
/titanic-victim/agda-thorilda-viktoria-lindahl.html,Swedish,Stockholm
/titanic-victim/edvard-bengtsson-lindell.html,Swedish,Stockholm
/titanic-victim/elin-gerda-lindell.html,Swedish,Stockholm
/titanic-victim/johan-svensson-lundahl.html,Swedish,Stockholm
/titanic-survivor/olga-elida-lundin.html,Swedish,Stockholm
/titanic-survivor/thure-edvin-lundstrom.html,Swedish,Stockholm
/titanic-victim/samuel-niklasson.html,Swedish,Stockholm
/titanic-survivor/berta-olivia-nilsson.html,Swedish,Stockholm
/titanic-survivor/helmina-josefina-nilsson.html,Swedish,Stockholm
/titanic-victim/august-ferdinand-nilsson.html,Swedish,Stockholm
/titanic-survivor/anna-sofia-nysten.html,Swedish,Stockholm
/titanic-victim/nils-martin-odahl.html,Swedish,Stockholm
/titanic-survivor/velin-ohman.html,Swedish,Stockholm
/titanic-victim/nils-johan-goransson-olsson.html,Swedish,Stockholm
/titanic-victim/ellen-natalia-pettersson.html,Swedish,Stockholm
/titanic-victim/johan-emil-pettersson.html,Swedish,Stockholm
/titanic-victim/edvard-larsson-rondberg.html,Swedish,Stockholm
